DU,46,3256,0,0,2,1,1,f,0,x,0,x,x,3,1,0,0,0,Immobilized after 2 pieces like 20 secs in
SP,9,3256,1,0,0,0,1,f,7.7,a,0,a,b,2,0,0,1,0,
sc,55,3256,0,0,2,0,5,f,0,o,0,v,x,4,0,0,0,1,
mj,67,3256,0,0,2,0,5,x,7.9,h,0,a,x,3,0,0,0,1,
mj,67,3256,0,0,2,0,5,x,7.9,h,0,a,x,3,0,0,0,1,
BE,72,3256,0,0,1,0,6,x,0,s,1,v,g,4,0,0,0,1,
Mk,4,3309,0,0,0,0,0,f,0,a,0,n,a,4,0,0,1,0,Were not able to do ground pickup
mj,12,3309,0,0,1,8,0,f,0,p,0,v,x,5,0,0,0,1,specializes in amp
ps,16,3309,0,0,0,0,0,x,0,a,0,n,b,3,0,0,1,1,mech didnt function- bad at defense
TD,30,3309,0,0,0,3,0,f,0,p,0,a,x,2,0,0,0,0,
sc,27,3309,0,0,0,1,0,f,0,a,0,a,g,3,0,0,0,0,broken
AY,43,3309,1,0,0,3,0,b,0,o,0,a,x,5,0,0,0,0,bit of trouble with picp
BK,58,3309,1,0,0,5,0,f,0,p,0,a,x,2,0,0,0,0,
AY,67,3309,0,0,0,6,0,f,0,p,0,v,x,3,0,0,0,0,Only did amp
HS,18,3859,0,0,0,0,0,x,0,x,0,a,a,1,1,0,0,0,didnt move the whole game
sc,11,3859,0,0,1,1,3,f,0,a,0,a,x,2,0,0,0,0,
sc,29,3859,0,0,1,0,3,f,0,o,0,n,x,3,0,0,1,0,cant amp
EZ,36,3859,0,0,0,0,1,f,0,x,0,a,a,3,0,0,1,0,defense is not great
AS,50,3859,0,0,1,0,4,x,0,x,0,v,x,3,1,0,0,0,"Immobilized towards end, during match was mostly reliab"
SP,45,3859,0,0,1,0,3,x,0,a,0,a,a,3,0,0,0,1,
AL,58,3859,0,0,1,0,4,f,0,x,0,v,g,3,0,0,0,1,"Shooter is pretty good, nice ground intake"
SP,45,3859,0,0,1,0,3,x,0,a,0,a,a,3,0,0,0,1,
AY,65,3859,0,0,0,0,5,s,0,a,0,v,x,5,0,0,0,1,
BE,71,3859,0,0,1,0,5,f,0,o,0,a,g,4,0,0,0,0,Bullied other robots out of source
Mk,3,4990,0,0,0,1,0,s,0,a,0,a,a,2,0,0,0,0,Notes got stuck in amp and on bot easily
Ps,10,4990,0,0,0,4,0,b,0,o,0,a,b,1,0,0,1,0,
mj,15,4990,1,0,0,2,0,b,1.2,o,0,n,x,3,0,0,0,0,
SB,23,4990,0,0,0,1,0,f,35.5,o,0,a,x,2,0,0,0,1,Amp only would be good for us I think
HS,34,4990,0,0,0,3,1,x,0,a,0,x,x,3,0,0,0,0,mech didnt function??
HS,37,4990,0,0,0,2,0,x,0,o,0,n,a,3,0,0,0,0,didnt understand that strategy lol
Ag,52,4990,0,0,0,1,0,x,0,o,0,n,x,3,1,0,0,0,
AD,64,4990,0,0,0,0,0,x,0,p,0,n,x,2,0,0,0,0,
EZ,2,5026,1,0,0,0,1,f,0,p,0,a,a,3,0,0,0,0,didnt really score anything
gc,14,5026,0,0,0,0,3,s,0,x,0,a,x,3,0,0,0,1,"good at shooting, doesnt really miss but not often"
AD,22,5026,0,0,1,0,6,f,0,x,0,a,x,4,0,0,0,1,
sc,34,5026,0,0,1,0,5,f,0,x,0,n,x,3,0,0,0,0,fast but bricking
EZ,37,5026,1,0,1,0,3,f,0,p,0,a,a,4,0,0,0,1,"pretty consistent, no chain tho"
sc,34,5026,0,0,1,0,5,f,0,x,0,n,x,3,0,0,0,0,fast but bricking
